,birth,death,gender,hair,height,name,race,realm,spouse,biography,history
36,SA 2798,SA 3033,Male,,,Ar-Zimrathôn,Men,Númenor,Unnamed wife,"Like his father Ar-Adûnakhôr, Ar-Zimrathôn opposed the Valar, and he took his name in the Adûnaic tongue rather than in the traditional Quenya. But Númenórean scholars recorded his Quenya name Tar-Hostamir in the Scroll of Kings so as not to break with tradition. His name in both languages means ""Jewel Gatherer"", perhaps implying a greedy nature.
Ar-Zimrathôn died in SA 3033, living to the age of two-hundred and thirty-five and ruled Númenor for seventy-one years, and was succeeded by his son, Ar-Sakalthôr.[1]",
37,TA 2820,TA 2930,Male,"Dark, then grey (film)",,Arador,Men,,Unnamed wife,"Arador descended in direct line from Aranarth being born in TA 2820.[1] He took the chieftainship in TA 2912 after his father Argonui died.[3]
During the time of his reign, the majority of the Dúnedain lived in the Angle of Eriador. Arador himself lived in a house by the Hoarwell in some woods north of the Trollshaws. During his reign, Trolls began to make dens in the mountains and hills of the Ettenmoors. A band of these trolls threatened Arador's house in the Angle.[4]
While not yet old by the account of the Dúnedain of the North, Arador was captured by Hill-trolls in the Coldfells north of Rivendell, and was slain by them.[5] These trolls may have been the same ones that threatened his house. He was succeeded by his son, who led the Dúnedain of the North and the Rangers of the North as Arathorn II, and was in turn succeeded by his own son Aragorn II, the future King of Gondor and Arnor.[2]",
38,TA 2296,TA 2455,Male,,,Araglas,Men,,Unnamed wife,"Like his forefathers, Araglas was raised by Elrond in Rivendell while his father Aragorn I dwelt in the wild. Aragorn was killed by a pack of wild wolves in TA 2327, and Araglas succeed him as Chieftain of the Dúnedain while still very young by the reckoning of his people. He died in TA 2455 after 128 years as chieftain and was succeeded by his son Arahad I.[2]",
39,TA 2227,TA 2327,Male,,,Aragorn I,Men,,Unnamed wife,"Aragorn I was born to Aravir in TA 2227[2] during the time of the Watchful Peace.[4] After his father's death in TA 2319, Aragorn I succeeded him as the Chieftain of the Dúnedain.[3]
Aragorn I's reign came to an early end when, in TA 2327, he became ""lost in the wilderness"" while hunting.[2] It was later said in history that he was probably slain by the Wolves infesting Eastern Eriador,[2] which remained an ever increasing danger in Eriador, even up to the Fourth Age.[4]
After his early death, he was succeeded by his son, Araglas, who became the sixth Chieftain of the Dúnedain.[3]",
40,"March 1 ,2931",FO 120,Male,Dark,"198cm (6'6"")",Aragorn II Elessar,Men,"Reunited Kingdom,Arnor,Gondor",Arwen,"Early years
Aragorn as a toddler, portrayed by Luke Johnston in the fan film Born of Hope
He was Aragorn son of Arathorn, the nine and thirtieth heir in the right line from Isildur, and yet more like Elendil than any before him.—The Silmarillion, Of the Rings of Power and the Third Age
Aragorn was a descendant of Elros Tar-Minyatur through the line of the Lords of Andúnië to Elendil, High King of Arnor and Gondor. Like all of the kings before him, he was Elrond's kin through the House of Elros.  His ancestor Arvedui was wedded to Fíriel, descended from Anárion, who bore their son Aranarth, making Aragorn the last descendant of both Isildur and Anárion.
When he was only two years old, his father Arathorn was killed while pursuing Orcs. Aragorn was afterwards fostered in Rivendell by Elrond. At the request of his mother, his lineage was kept secret, as she feared he would be killed like his father and grandfather if his true identity as the descendant of Elendil and Heir of Isildur became known. Aragorn was renamed ""Estel"" and was not told about his heritage until 2951.[1]
Young Aragorn with the shards of Narsil, by Anna Lee
Elrond revealed to ""Estel"" his true name and ancestry when he was twenty, giving him the Ring of Barahir and the Shards of Narsil, but withholding the Sceptre of Annúminas from Aragorn until he ""came of the right"" to possess the item. It was also around this time that Aragorn met and fell in love with Arwen, Elrond's daughter, newly returned from her mother's homeland of Lothlórien where she had been visiting her grandmother Galadriel.[1]
Aragorn thereafter assumed his proper role as the sixteenth Chieftain of the Dúnedain and left the comforts of Rivendell for the wild, where he lived with the remainder of his people, the Rangers of the North, whose kingdom had been destroyed through division and the Angmar Wars centuries before.[1]
Aragorn met Gandalf the Grey in 2956 and they became close friends. Heeding Gandalf's advice, Aragorn and the Rangers began to guard a small land known as the Shire inhabited by the diminutive and agrarian Hobbits, and he became known among the peoples just outside the Shire's borders as Strider.
From TA 2957 to TA 2980, Aragorn undertook great journeys, serving in the armies of King Thengel of Rohan, and Steward Ecthelion II of Gondor. Many of his tasks helped to raise morale in the West and counter the growing threat of Sauron and his allies, and he earned priceless experience which he would later put to use in the War of the Ring. Aragorn served these lords in disguise and his name in Gondor and Rohan during that time was Thorongil (""Eagle of the Star""). With a small squadron of ships from Gondor, he led an assault on the long-standing City of the Corsairs in 2980, burning many of the Corsairs' ships and personally overthrowing the Captain of the Haven during a battle upon the quays. After the victory at Umbar, ""Thorongil"" left Gondor and, to the dismay of his men, went east.[2]
Later in 2980, he visited Lothlórien, and there once again met Arwen. He gave her the heirloom of his House, the Ring of Barahir, and, on the hill of Cerin Amroth, Arwen pledged her hand to him in marriage, renouncing her Elvish lineage and accepting the Gift of Ilúvatar: Death.[1]
Elrond withheld from Aragorn permission to marry his daughter until such a time as his foster son should be king of ""both"" Gondor and Arnor. As both Elrond and Aragorn knew, to marry a mortal, Arwen would be required to choose mortality, and thus deprive the deathless Elrond of his daughter while the world lasted. Elrond was also concerned for Arwen's own happiness, fearing that in the end she might find death (her own and that of her beloved) too difficult to bear.[1]
Before the events of The Lord of the Rings properly take place, Aragorn traveled widely through Middle-earth, entering the Dwarven mines of Moria via the East-gate of Moria but exiting the same way. He also journeyed to Harad, where (in his own words) ""the stars are strange"". Tolkien indicated that these travels occurred after TA 2980, but does not indicate what happened during Aragorn's visits.
In TA 3009, Gandalf grew suspicious of the origin of the Ring belonging to the Hobbit Bilbo Baggins, which later turned out to be the One Ring, the key to the Dark Lord Sauron's power. Setting a guard of Rangers on the Shire, Aragorn went at Gandalf's request into Rhovanion in search of Gollum, who had once possessed the Ring. He caught the creature in the Dead Marshes near Mordor, and brought him as a captive to Thranduil's Halls in Mirkwood, where Gandalf questioned him.[3] Gollum, however, escaped some time later with the aid of Sauron's Orcs.
Strider sitting in The Prancing Pony, by Giovani Bellofatto
War of the Ring
What his right name is I've never heard: but he's known round here as Strider.—Barliman Butterbur, speaking of Aragorn in The Fellowship of the Ring, ""At the Sign of the Prancing Pony""
Escorting the hobbits
Aragorn returned with Gandalf in the spring of TA 3018, and then went away on his own journey, and was not able to help when Gandalf discovered the Nazgûl were seeking for Frodo and the Ring in the Shire. After Frodo left Hobbiton, Gildor Inglorion informed Aragorn that the Nine were looking for him and Gandalf was missing. Aragorn continued to watch the Great East Road until Tom Bombadil and the four hobbits came from the Barrow-downs. Following them to Bree, he met Frodo at the Inn of the Prancing Pony under the name ""Strider,"" as the Men of Bree called him.[4] Though originally the hobbits were suspicious of him, Barliman Butterbur brought a letter from Gandalf that made them trust him.[5] Aragorn was aged 87 at that time, nearing the prime of life for one of royal Númenórean descent.
After the raid on Bree, Aragorn led the Hobbits out of Bree-land and through the Midgewater Marshes. While there, he saw Gandalf's battle with the Nazgûl on Weathertop from a distance. When they themselves came to Weathertop, they discovered five of the Nazgûl had followed them, and during the later attack he fought off the Ringwraiths. After attempting to heal Frodo with athelas, he led them across the Lone-lands towards the Trollshaws.[6] They met with the Elf-lord Glorfindel who led them to the Ford of Bruinen. When the Nazgûl caught up with them and Elrond released a flood, Aragorn and the Hobbits kindled fire and flushed out those Nazgûl that had remained on the western bank. He then accompanied Frodo to Rivendell.[7]
Aragorn and Arwen in woods near Rivendell, by Stephen Hickman
During the feast of victory, Aragorn was gathering news from Elladan and Elrohir, and later helped his friend Bilbo compose his Lay of Eärendil. During the Council of Elrond, he revealed himself to Boromir as the heir of Isildur and described his capture of Gollum. After Elrond decided that the Ring must be destroyed in Mordor, Frodo took the burden upon himself. There, Aragorn chose to join Frodo, thus forming the Fellowship of the Ring, tasked with accompanying Frodo in destroying the Ring in the fires of Mount Doom. Besides Aragorn, Gandalf, and Frodo, the company included Frodo's cousins Pippin and Merry, his best friend Samwise Gamgee, Legolas the Elf, Gimli the Dwarf, and Boromir of Gondor.[3]
All that is gold does not glitter,
Not all those who wander are lost;
The old that is strong does not wither,
Deep roots are not reached by the frost.
From the ashes a fire shall be woken,
A light from the shadows shall spring;
Renewed shall be Blade that was Broken,
The crownless again shall be king.
— Bilbo's poem about Aragorn[5]
Before the group set out, the shards of Narsil were re-forged, and the restored blade was named Andúril.
Accompanying the Fellowship
Aragorn and Gandalf had been planning their journey to Mordor for weeks. He and Gandalf guided the Fellowship south along the line of the Misty Mountains. When they came to Hollin, Aragorn grew suspicious due to the lack of any sound he heard and spotted the Crebain who were spying out the land for Saruman. He then convinced Gandalf to try the pass over Caradhras. However, while they were still far down the mountain, they were caught in a freak storm brought on by Sauron, and were forced to retreat. Aragorn, together with Boromir, made a path through the snow for the Fellowship to escape.
Aragorn the Ranger in the wild, in the fan film The Hunt for Gollum
After it was proposed to go through Moria, Aragorn reluctantly agreed to go and helped fight off the Wargs that attacked them during the night. Helping to rescue Frodo from the Watcher in the Water, once the company entered Moria, Aragorn remained at the back and noticed Gollum beginning to follow them. After they were attacked in the Chamber of Mazarbul, Aragorn fought off the attackers and killed the Orc-Chieftain, (or Cave-troll in the movies) that had seemingly killed Frodo. During Gandalf's battle with the Balrog on the Bridge of Khazad-dûm, Aragorn ran to his side and became the Fellowship's leader after Gandalf fell, presumed dead.[8] Aragorn then led the company to Lothlórien, where he visited Cerin Amroth for the last time. At their parting, Lady Galadriel gave him the Elfstone.[9]
After Lórien, Aragorn and the Fellowship sailed down the River Anduin to the Falls of Rauros. Aragorn attempted to catch Gollum several times. Though his original plan was to set out for Gondor and aid its people in the war, he felt responsible for Frodo after the loss of Gandalf and was conflicted about what path to take.[10]
Breaking of the Fellowship
Fear not! he said. ""Long have I desired to look upon the likenesses of Isildur and Anarion, my sires of old. Under their shadow Elessar, the Elfstone son of Arathorn of the House of Valandil Isildur's son heir of Elendil, has naught to dread!— Aragorn proclaiming his lineage[10]""
After passing the Argonath, the Fellowship camped at Parth Galen. Frodo saw that Boromir had been driven mad by the influence of the One Ring, trying to take it. Frodo put the Ring on, rendering him invisible, and ran away from Boromir. Frodo climbed to the high seat on Amon Hen; from there he could see Sauron's eye looking for him. The Hobbit felt the eye but the Dark Lord was distracted by Gandalf the White.
Aragorn at Amon Hen in the film trilogy
At this same time, the others were attacked by Saruman's Uruk-hai and a battle ensued. During the ensuing battle, Boromir was killed defending Merry and Pippin, expressing his remorse privately to Aragorn for trying to take the Ring. After discovering that Frodo had left, Aragorn and the others decided that they would leave Frodo and Sam to rescue Merry and Pippin. Legolas, Gimli, and Aragorn put Boromir's body and war gear in one of the Elven boats as a funeral boat and tribute to Boromir for his bravery and courage. His body would be sent over the Falls of Rauros.[11]
While Frodo continued his quest with Samwise Gamgee, Aragorn, Legolas and Gimli went to Rohan to free Merry and Pippin, who had been captured by the Uruk-hai in Saruman's service.
The Three Hunters
Aragorn ran from Parth Galen across the width of Rohan in just four days. As they approached Fangorn Forest, the ""Three Hunters"" Aragorn, Legolas, and Gimli encountered Éomer, who had recently pursued and routed an Orc-band in the area. From Éomer, Aragorn learned that the Orcs who had kidnapped Merry and Pippin had been destroyed and that the Hobbits had not been found. Dejected, he led Legolas and Gimli to the site of the battle. Clues led Aragorn to believe that the Hobbits might still be alive, and he led the Three Hunters into Fangorn Forest.[12] They did not find the Hobbits, but they did find Gandalf the White, sent back to continue his struggle against Sauron. Gandalf told the Three Hunters that the Hobbits were safe with the Ents of Fangorn.[13]
The Three Hunters, by Ted Nasmith
Where now are the Dunedain, Elessar, Elessar?
Where do thy kinsfolk wander afar?
Near is the hour when the lost should come forth,
And the Grey Company ride from the North.
But dark is the path appointed to thee:
The Dead watch the road that leads to the Sea.
- Galadriel's message to Aragorn[13]
The Battle of Hornburg
Together, Gandalf and the Three Hunters travelled to Edoras, where Gandalf freed Théoden from Saruman's enchantment and helped him organize the Rohirrim against Saruman.[14] He allied with Théoden and joined the king's Éored, journeying to Helm's Deep.
Night Battle on Helm's Deep, by Shin Lin
Aragorn fighting in the battle of helms deep
Aragorn, Legolas and Gimli then helped the people of Rohan in the Battle of the Hornburg, in which they conclusively defeated Saruman's army.[15] Afterward Aragorn went with Gandalf to Isengard, only to find it in ruins by the work of the Ents. Aragorn, being present with Gandalf, Théoden, Éomer, Legolas and Gimli, negotiated in a final parley with Saruman. Saruman attempted to bend Théoden to his will, and at first the king was almost swayed, but mastering his will he refused to join with Saruman. Saruman also attempted to sway Gandalf, but failed in this also, and even so Gandalf offered his counterpart the opportunity for forgiveness. Saruman refused to repent out of pride and to avoid seeming a rebel to Sauron, and thus Gandalf broke Saruman's staff and banished him from the Order of Wizards and the White Council. After Saruman crawled away, Gríma Wormtongue threw the palantír of Orthanc at Gandalf as he and the others were leaving. He missed, however, unable to decide if he hated Saruman or Gandalf more, and thus ended the Battle of the Hornburg and the destruction of Isengard. After Pippin revealed himself to Sauron in the stone, Gandalf gave the palantír to Aragorn.[16]
Not long after the Grey Company of Rangers arrived from the north, dispatched by Galadriel. With them rode Elladan and Elrohir and Halbarad, bearing a standard made for him by Arwen. When Aragorn returned to Helms Deep, he decided to draw Sauron out and used the palantír to show himself and Andúril to the Dark Lord, wrenching the Stone to his will after a long struggle with the Dark Lord. However, this led Sauron to swiftly send out the forces he had long prepared to attack Minas Tirith.
Return of the King
Aragorn with the Army of the Dead
In order to defend the city, Aragorn travelled the Paths of the Dead, and summoned the Dead Men of Dunharrow who owed allegiance to the Heir of Isildur. It had been prophesied by Isildur and Malbeth the Seer that the Dead would be summoned once more to pay their debt for betraying Gondor an age before. With their aid the Corsairs of Umbar were defeated at the Battle of Pelargir.[17]
Aragorn, a small force of Rangers, and a large contingent of men and soldiers from the southern regions then sailed up the Anduin to Minas Tirith. When they arrived at the Battle of the Pelennor Fields, Aragorn unfurled a standard that Arwen had made for him which showed both the White Tree of Gondor along with the jeweled crown and seven stars of the House of Elendil. With the help of the southern forces the armies of Gondor and Rohan rallied together and defeated Sauron's army.[18]
The Steward Denethor II declared that he would not bow to a descendant of Isildur (years before, he had seen ""Thorongil"" as a rival to his father's favor and soon discovered his true identity) and burned himself to death during the battle, despairing of final victory. Aragorn healed Faramir, Denethor's last heir, Éowyn and Merry, who together slew the Witch-king as well as many others. This won him the immediate recognition of Faramir as rightful heir to the throne; his humility and self-sacrifice gained him the hearts of the inhabitants of Gondor's capital city. Aragorn's healing abilities, moreover, were a sign to the people of Gondor of the identity of their true king; as Ioreth said, ""The hands of the King are the hands of a healer, and so shall the rightful king be known."" The people hailed him as King that same evening.[19]
Aragorn Captain of the West
Despite his immediate success and popularity, however, and despite his claim to the throne through raising the royal banner, Aragorn decided to lay aside his claim for the time being. He knew that if he aggressively promoted his claim, rival claimants or debates as to his legitimacy were not out of the question, and this could be a fatal distraction for Gondor at a time when the West needed to be united against Sauron. So, to avoid conflict, after he had healed people during the following nights of March 15–16, he left Minas Tirith and symbolically refused to enter it again until he was crowned King on May 1.
Captain of the West
Aragorn then led the Army of the West to Mordor as per the advice of Gandalf and Elrond, to divert Sauron's attention from Frodo and Sam. They marched over the Anduin river and came to Minas Morgul, and set fire to the fields there. Leaving a guard at the Cross-roads of the Fallen King, they began to march north along the North Road of Ithilien, and Aragorn won a skirmish against some Orcs and Easterlings that tried to ambush them. They then reached the desert before Mordor, and Aragorn allowed those who were afraid to depart to retake Cair Andros. The Army of the West then reached the Black Gate, and Aragorn along with Gandalf, Éomer, Imrahil, Pippin, Legolas and Gimli rode up to it and called for Sauron to come forth. He then watched as the Mouth of Sauron revealed Sauron knew about Frodo and Sam, and saw Gandalf's rejection of Sauron's terms. The Host of the West was then encircled by Sauron's forces, a vast army of Orcs and Men. Aragorn then arranged the Army of the West defensively on two Slag-hills and the Battle of the Morannon began.
After the destruction of the Ring and the defeat of Sauron, Aragorn freed the slaves of Núrn and gifted them the entire land in southern Mordor.
As King of Reunited Gondor and Arnor
Then Faramir stood up and spoke in a clear voice: “Men of Gondor, hear now the Steward of this Realm! Behold! One has come to claim the kingship again at last. Here is Aragorn, son of Arathorn, chieftain of the Dúnedain of Arnor, Captain of the Host of the West, bearer of the Star of the North, wielder of the Sword Reforged, victorious in battle, whose hands bring healing, the Elfstone, Elessar of the line of Valandil, Isildur's son, Elendil's son of Númenor. Shall he be king and enter into the City and dwell there?"" And all the host and all the people cried yea with one voice.—Faramir the Steward announces the coronation of King Elessar
Aragorn, son of Arathorn, King of Gondor
Upon Sauron's defeat, Aragorn was crowned as King Elessar, a name given to him by Galadriel and adopted by the people of Gondor because of the Elfstone he wore. He became the twenty-sixth King of Arnor, thirty-fifth King of Gondor, and the first High King of the Reunited Kingdom, though it would be several years before his authority was firmly re-established in Arnor. His line was referred to as the House of Telcontar (Telcontar being Quenya for ""Strider""). Aragorn married Arwen shortly afterwards, and ruled the Kingdom of Gondor and Arnor until 120 of the Fourth Age. His reign was marked by great harmony and prosperity within Gondor and Arnor, and by a great renewal of cooperation and communication among Men, Elves, and Dwarves, fostered by his vigorous rebuilding campaign following the war. Aragorn led the forces of the Reunited Kingdom on military campaigns against some Easterlings and Haradrim, re-establishing rule over all the territory that Gondor had lost in previous centuries.
During his coronation, Aragorn spoke Elendil's Oath: ""Et Eärello Endorenna utúlien. Sinome maruvan ar Hildinyar tenn' Ambar-metta!"" (""Out of the Great Sea to Middle-earth I am come. In this place, I will abide, and my heirs, unto the ending of the world."")[20]

End of Reign and Death
Then a great beauty was revealed in him, so that all who after came there looked on him in wonder; for they saw that the grace of his youth, and the valour of his manhood, and the wisdom and majesty of his age were blended together. And long there he lay, an image of the Kings of Men in glory undimmed before the breaking of the world.— Description of Aragorn's death.[1]
Aragorn's funeral
When in the year 120 of the Fourth Age, King Elessar realised his days were at an end, he went to the House of the Kings in the Silent Street. He said farewell to his son Eldarion and his daughters and gave Eldarion his crown and sceptre. Arwen remained at Aragorn's side until he died. A year after Aragorn's death, Arwen died in Lothlórien of a broken heart. Eldarion began his reign as the second King of the Reunited Kingdom after his father's death.[1]",
41,TA 2431,TA 2588,Male,,,Aragost,Men,,Unnamed wife,"Like his forefathers, Aragost was raised by Elrond in Rivendell while his father Arahad I dwelt in the wild. He became the Chieftain of the Dúnedain in TA 2523 at the death of his father. His rule was an uneventful one, as the attention of the enemy was focused on Gondor, where the Éothéod had settled the new realm of Rohan.
He died in TA 2588,[2] after serving as chieftain for sixty-five years, and was succeeded by his son Aravorn.",
42,TA 2365,TA 2523,Male,,,Arahad I,Men,,Unnamed wife,"Like his forefathers, Arahad was raised by Elrond in Rivendell while his father Araglas dwelt in the wild. He became the Chieftain of the Dúnedain in TA 2455 at the death of his father. During his rule as chieftain, it was discovered that the Necromancer had returned to Dol Guldur, and the Watchful Peace came to an end in TA 2460.
Some time later the Misty Mountains were once again invaded by the Orcs. In TA 2509 Elrond's wife Celebrían was taken by Orcs and tortured. She later left Middle-earth for Valinor. Arahad died in TA 2523 after serving as chieftain for sixty-eight years, and was followed by his son Aragost.[2]",
43,TA 2563,TA 2719,Male,,,Arahad II,Men,,Unnamed wife,"Like his forefathers, Arahad was raised by Elrond in Rivendell while his father Aravorn dwelt in the wild. He became the Chieftain of the Dúnedain in TA 2654 at the death of his father. During his rule the Hobbits of the Shire prospered under the protection of the Rangers, and the first pipe-weed was planted in the Shire's Southfarthing. In the Shire, Isengrim II became the Thain and began digging the Great Smials. Arahad died in TA 2719[2] after serving as chieftain for sixty-five years, and was followed by his son Arassuil.",
44,TA 2012,TA 2177,Male,,,Arahael,Men,,Unnamed wife,"Arahael became the second chieftain in TA 2106.[1] He led the Dúnedain during the time known as the Watchful Peace, and was untroubled by war.
Arahael died in TA 2177 after serving as Chieftain for seventy-one years. He was succeeded by his son Aranuir.[2]",
45,TA 1938,TA 2106,Male,,,Aranarth,Men,,Unnamed wife,"Aranarth was born in TA 1938 to Arvedui and Fíriel. In his youth, the Witch-king of Angmar was at the height of his power and destroyed the Northern Kingdom, overrunning its capital city Fornost. Most of the surviving people, including Aranarth, fled to Lindon, but King Arvedui went north to the Icebay of Forochel. Aranarth urged Círdan to send ships to rescue Arvedui, but the ship never returned. It was later learned that the ship had sunk with Arvedui on board as well as the palantíri of the north.[2]
By right, this made Aranarth now King of Arnor, but since the kingdom was lost he decided not to claim the title. Aranarth rode with the army of Gondor under Eärnur and saw the destruction of Angmar. Aranarth's people became known as the Rangers of the North and he was the first of their Chieftains who dwelt in the wilds of Eriador. In time, their origins were generally forgotten by the remaining people of Eriador.[2]
While the Rangers defended Arnor from the remnants of Angmar's evil, the Wizard Gandalf went to Dol Guldur, and drove out Sauron the Necromancer. Thus began the period known as the Watchful Peace, a time where attacks by the enemy were few and far between. Aranarth's son Arahael was born in Rivendell, and was given a name with the prefix of Ar(a)-, which means King, to signify that by right he would be King of Arnor.
Arahael succeeded his father at his death in TA 2106. Aranarth may have had other children apart from Arahael, considering Dírhael was known to be a descendant of his.",
46,TA 185,TA 435,Male,,,Arantar,Men,Arnor,Unnamed wife,"Arantar ascended the throne of Arnor in TA 339 on the death of his father Eldacar; he was the great-grandson of Isildur. The ninety-six years of his reign was without any major events, and he died in TA 435 at the age of two-hundred and fifty. He was succeeded by his son Tarcil.[2][3]",
47,TA 2084,TA 2247,Male,,,Aranuir,Men,,Unnamed wife,"Aranuir was the son of Arahael and great-grandson of Arvedui Last-King. He was the direct ancestor of Aragorn II Elessar through thirteen generations. Aranuir died in TA 2247.[2] Little is recorded of Aranuir's life or reign but it could be assumed that it was relatively uneventful, coinciding with the Watchful Peace.",
48,,,Male,,,Aranwë,Elves,,Unnamed wife,,
49,TA 1789,TA 1964,Male,,,Araphant,Men,Arthedain,Unnamed wife,"Araphant, the son and heir of King Araval, ascended to the throne in TA 1891 following his father's death. During his reign, the well-known seer Malbeth made a prediction regarding the fate of his son Arvedui, stating that he would be the last king of Arthedain; and as such, he advised Araphant to name his son Arvedui, meaning""last king"". Malbeth's prophecy included a choice for the Dúnedain: if they took the less hopeful path, Arvedui would not change his name and would remain the last king, leading to much sorrow and many lives lost until the Dúnedain were united again.
For some five hundred years, Arthedain had held off the constant attacks of the evil realm of Angmar. Araphant continued fighting off these attacks with failing strength.[3]
During his time, the rulers of Arthedain and Gondor became aware that a force was conducting coordinated attacks on the exiles of Númenor. Araphant therefore renewed contact with Gondor and forged an alliance with King Ondoher, leading to a marriage between Ondoher's daughter Fíriel and Araphant's son Arvedui. Four years later, King Ondoher died during an attack by the Wainriders, and Arvedui made a claim for the throne of Gondor by right of his blood connection to Isildur and his wife Fíriel, who by the laws of Númenor should have become the Ruling Queen. This claim was denied by Gondor, and the kingship of Gondor passed to Eärnil II.
Araphant died in TA 1964 after ruling for seventy-three years and was succeeded by his son Arvedui.[2]",
50,TA 1391,TA 1589,Male,,,Araphor,Men,Arthedain,Unnamed wife,"Araphor was the son of Arveleg I and came early to the throne of Arthedain. While he was still in his youth (probably no more than eighteen years old), the Witch-king of Angmar launched a mighty invasion of his kingdom, that came close to destroying it. Araphor's father Arveleg fought in the defence of the Tower of Amon Sûl, and his early death in that battle brought Araphor to the throne.
Records of the events of this time are incomplete, but it seems that the Witch-king laid siege to the royal city of Fornost. The young Araphor went to war with aid from Círdan and the Elves of Lindon, and succeeded in relieving the siege and driving back the forces of Angmar.
After Araphor's defeat of Angmar, there is no record of further warfare during his long reign. Nonetheless, he ruled a diminished and dwindling people; the wars of his youth had seen the Northern Dúnedain come close to destruction. Rhudaur was now ruled by Angmar, and the Dúnedain of Cardolan were all but extinct.
During these wars many Stoors (Hobbits) fled from Eriador and returned to Wilderland, and became the river people of Sméagol and Déagol.
Araphor died in TA 1589 after ruling Arthedain for one hundred and eighty years, and was succeeded by his son, named for Araphor's heroic grandfather Argeleb, who ruled as Argeleb II.[2]",
51,TA 2628,TA 2784,Male,,,Arassuil,Men,,Unnamed wife,"Like his forefathers, Arassuil was raised by Elrond in Rivendell while his father, Arahad II, dwelt in the wild. After the death of his father in TA 2719, he became the eleventh Chieftain of the Dúnedain. During his rule, he fought off Orc raids coming from the Misty Mountains and into Eriador,[2] but was unable to prevent a force from reaching the Shire, where the hobbits defeated the enemy themselves under Bandobras Took.[3]
During his rule, a great and perilous Long Winter arrived in TA 2759, which fell upon Eriador and took the lives of many. Gandalf and the Rangers had to help the Hobbits of the Shire live through it. Arassuil died in TA 2784 after serving as chieftain for sixty-five years, and was succeeded by his son, Arathorn I.[2]",
52,SA 3339,,Male,,,Aratan,Men,TA 2,"Unknown, possibly known","Aratan did not take part in the invasion of Mordor or the Siege of Barad-dûr. Instead, his father sent he and his brother Ciryon to Minas Ithil with a force in case Sauron should break or escape the siege through Cirith Dúath, and assail the Dúnedain before he was yet defeated.[3] He like his brothers Elendur and Ciryon, were slain at the Gladden Fields.[2][4][5]",
53,TA 2693,TA 2848,Male,,,Arathorn I,Men,,Unnamed wife,"Like his forefathers, he was raised by Elrond in Rivendell while his father Arassuil dwelt in the wild. Arathorn became the Chieftain of the Dúnedain in TA 2784 at the death of his father. His rule was largely an uneventful one, as the Dúnedain and other peoples of Eriador were recovering from the Long Winter.
At the southern fringes of his realm, great events occurred: the Dwarven King Thrór was slain by Azog, an Orc of Moria. From TA 2793 – TA 2799, the War of the Dwarves and Orcs was fought all through the Misty Mountains, as Dwarves from all Seven Houses gathered to avenge Thrór, the Heir of Durin.
After the War ended in TA 2799 at the Battle of Azanulbizar, Eriador was safe from Orcs for many years, which meant that the Rangers of the North had a relatively safe period, aside from fighting the occasional Orc refugee. Most Orcs fled south to Rohan, trying to settle the White Mountains. Arathorn died in TA 2848 when he was attacked by Wolves, and he was followed by his son Argonui. He served as Chieftain for sixty-five years.[2]",
54,TA 2873,TA 2933,Male,Dark (film),,Arathorn II,Men,,Gilraen,"Like his forefathers, he was raised by Elrond in Rivendell while his father Arador dwelt in the wild. Arathorn asked for the hand of Gilraen at a very young age. Though her father Dírhael initially opposed the marriage, his wife prevailed upon him to agree to the match, as she foresaw that an early death awaited Arathorn.
Arathorn became the Chieftain of the Dúnedain in TA 2930, when his father was captured by Hill-trolls. He ruled for only three years until TA 2933,[1] when he was slain by an arrow that pierced his eye while hunting Orcs with Elladan and Elrohir. He was followed by his infant son Aragorn, later known as King Elessar Telcontar of the Reunited Kingdom.",
55,TA 1711,TA 1891,Male,,,Araval,Men,"Arthedain,Arnor",Unnamed wife,"He was the son of Arveleg II and was born into a time of war and strife. At the time of his birth, his father's realm of Arthedain had been under threat from the evil eastern land of Angmar for more than four hundred years.
Araval, too, played his part in the war with Angmar. Little is said of his career, but it was hinted that he was a diplomat and a warrior.[1] In alliance with the Elves of Lindon and Rivendell, he won at least one important victory over the Witch-king of Angmar. We are also told that he attempted the recolonization of Cardolan, though this was prevented by the evil beings, the wights, sent there by the Witch-king some two centuries before.
In the end, though, Araval's bravery counted for little. His grandson Arvedui, who was born in Araval's lifetime and just thirteen years after his great victory, was to see the final destruction of the kingdom of Arthedain.
Araval died in TA 1891 after ruling Arthedain for seventy-eight years and was succeeded by his son Araphant.[1]",
56,TA 2156,TA 2319,Male,,,Aravir,Men,,Unnamed wife,"He was raised by Elrond in Rivendell while his father Aranuir dwelt in the wild. At his father's death in TA 2247, Aravir in turn became the Chieftain of the Dúnedain. Little of his reign is recorded, but was likely peaceful, as it coincided with the Watchful Peace.
Aravir died in TA 2319 after serving as Chieftain seventy-two years, and was followed by his son Aragorn I.[2]",
57,TA 2497,TA 2654,Male,,,Aravorn,Men,,Unnamed wife,"Like his forefathers, Aravorn was raised by Elrond Half-elven in Rivendell. Aravorn became the Chieftain of the Dúnedain in the year TA 2588 at the death of his father. During Aravorn's rule, the Orc and Wolf attacks continued as the strength of the Dark Lord Sauron slowly began to increase. Aravorn died in the year TA 2654 after serving as chieftain for sixty-six years, and was followed by his son Arahad II.[2]",
